Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Basic Medical Sciences,Biomedical Science,159,6.73,39.8,True,1,not admitted,"C5, C5, B3, C6, B3"
Clinical Sciences,Medicine and Surgery,318,17.27,72.22,True,1,admitted,"A1, C5, C6, B2, B3"
Veterinary Medicine,Veterinary Medicine,209,10.3,49.62,True,2,not admitted,"C6, C5, B2, C5, C4"
Law,Law,294,13.09,65.84,True,1,admitted,"B2, A1, C5, C6, A1"
Management Sciences,Finance,159,2.49,38.37,True,1,not admitted,"B3, A1, B3, B3, C5"
Arts,Arabic,262,12.06,57.21,True,1,admitted,"B2, C6, C6, C5, C5"
Management Sciences,Accounting,256,1.38,47.78,True,2,not admitted,"B2, C5, C6, B2, C4"
Veterinary Medicine,Veterinary Medicine,311,7.45,64.72,True,1,admitted,"A1, A1, B2, A1, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,259,2.09,48.06,True,1,not admitted,"B3, C5, C6, C6, A1"
Agriculture,Home Economics and Food Science,282,2.03,51.68,True,2,admitted,"C6, B3, C5, A1, C4"
Agriculture,Home Economics and Food Science,304,9.38,62.18,True,2,admitted,"C5, B2, C5, A1, C5"
Basic Medical Sciences,Anatomy,159,26.29,58.56,True,1,not admitted,"C6, C5, C5, C4, C4"
Communication and Information Sciences,Library and Information Science,184,6.37,44.17,True,1,not admitted,"C4, A1, C6, B2, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,252,18.2,64.5,True,1,admitted,"C4, C5, A1, C4, C4"
Management Sciences,Accounting,232,14.95,57.95,True,1,admitted,"C5, C4, A1, C5, C5"
Environmental Sciences,Quantity Surveying,375,7.13,68.81,True,1,admitted,"C4, A1, B3, C6, C4"
Engineering and Technology,Computer Engineering,267,6.42,53.39,True,1,admitted,"C5, C4, C4, C6, B2"
Law,Law,280,2.17,53.97,True,2,admitted,"C4, C5, A1, B2, A1"
Law,Law,141,8.8,40.02,True,1,not admitted,"C5, C6, B3, C5, B2"
Engineering and Technology,Civil Engineering,161,4.0,39.33,True,1,not admitted,"C4, C4, B2, C5, B2"
Arts,English,299,21.95,75.72,True,1,admitted,"A1, B3, A1, C5, C4"
Veterinary Medicine,Veterinary Medicine,332,0.42,54.32,True,1,admitted,"C6, B3, C5, C6, C4"
Law,Law,376,29.92,88.92,True,2,admitted,"C6, C4, C4, C5, C6"
Management Sciences,Marketing,335,17.94,73.41,True,2,admitted,"C4, C6, C5, A1, C5"
Basic Medical Sciences,Physiology,174,29.65,66.6,True,2,not admitted,"C5, B2, C6, B3, A1"
Clinical Sciences,Medicine and Surgery,171,26.66,62.03,True,2,not admitted,"B3, C6, B2, B3, C6"
Basic Medical Sciences,Physiology,169,3.44,38.56,True,2,not admitted,"C6, C5, C5, B3, A1"
Clinical Sciences,Medicine and Surgery,264,11.68,57.48,True,1,admitted,"C6, C5, B3, C6, B3"
Basic Medical Sciences,Physiology,157,25.54,60.77,True,2,not admitted,"B3, B3, A1, C6, B3"
Communication and Information Sciences,Information and Communication Science,212,8.49,53.39,True,1,admitted,"B2, B2, A1, B2, B2"
Arts,Arabic,177,18.22,56.34,True,2,not admitted,"B2, C5, C5, B2, A1"
Agriculture,Agricultural Economics and Farm Management,307,17.3,70.07,True,2,admitted,"C6, B3, C6, A1, B3"
Life Sciences,Plant Biology,187,2.13,39.91,True,2,not admitted,"B3, C4, B3, C4, C5"
Veterinary Medicine,Veterinary Medicine,155,11.98,45.75,True,1,not admitted,"C4, B3, C5, C4, B3"
Education,Educational Technology,170,18.63,55.08,True,2,not admitted,"C4, B2, C4, C4, B3"
Physical Sciences,Mathematics,283,27.5,79.67,True,2,admitted,"B3, B2, C5, B2, A1"
Education,Adult and Primary Education,244,3.26,48.96,True,1,not admitted,"B2, B2, C4, C6, B3"
Veterinary Medicine,Veterinary Medicine,223,0.09,42.77,True,1,not admitted,"B3, C4, C5, C5, A1"
Physical Sciences,Computer Science,325,15.12,70.55,True,1,admitted,"C6, A1, B3, C6, B2"
Communication and Information Sciences,Telecommunication Science,393,14.66,79.78,True,2,admitted,"B3, B2, B3, C5, B2"
Veterinary Medicine,Veterinary Medicine,210,28.06,68.71,True,2,admitted,"C5, C4, B3, C6, A1"
Basic Medical Sciences,Anatomy,231,11.16,57.63,True,2,admitted,"C4, A1, B3, A1, B2"
Engineering and Technology,Water Resources & Environmental Engineering,388,17.8,79.9,True,2,admitted,"B3, B3, C6, B3, C6"
Pharmaceutical Sciences,Pharmacy,211,18.5,61.27,True,1,admitted,"A1, C4, C4, C4, A1"
Life Sciences,Plant Biology,274,26.4,75.05,True,2,admitted,"B2, B3, C6, C4, C4"
Engineering and Technology,Civil Engineering,310,16.27,70.22,True,1,admitted,"B3, C6, A1, B2, C5"
Veterinary Medicine,Veterinary Medicine,313,23.46,78.59,True,2,admitted,"B3, B3, A1, B2, C6"
Veterinary Medicine,Veterinary Medicine,300,3.83,57.33,True,2,admitted,"B3, B2, A1, C4, C5"
Clinical Sciences,Nursing Science,346,7.85,65.9,True,2,admitted,"B3, C5, B3, B2, C5"
Education,Health Promotion and Environmental Health Education,384,22.18,86.18,True,1,admitted,"C6, A1, A1, C6, A1"
Life Sciences,Microbiology,142,19.93,50.48,True,2,not admitted,"C5, C6, A1, C5, C6"
Communication and Information Sciences,Information and Communication Science,181,24.73,61.76,True,2,admitted,"B2, C6, C4, A1, C6"
Management Sciences,Finance,202,14.49,54.94,True,1,admitted,"A1, C6, B2, B2, C6"
Law,Law,229,1.6,45.03,True,2,not admitted,"B3, C6, A1, C5, B3"
Physical Sciences,Statistics,237,19.88,61.9,True,2,admitted,"C6, C4, B2, C6, C6"
Management Sciences,Finance,369,0.15,62.67,True,1,admitted,"B2, C4, B2, B2, C4"
Veterinary Medicine,Veterinary Medicine,274,7.52,58.97,True,2,admitted,"B3, B3, A1, C4, A1"
Physical Sciences,Physics,248,1.63,43.43,True,2,not admitted,"C5, C5, C6, C6, C6"
Physical Sciences,Computer Science,252,18.73,66.63,True,2,admitted,"C5, A1, A1, B2, C5"
Pharmaceutical Sciences,Pharmacy,254,5.67,53.02,True,1,admitted,"B2, B2, A1, C5, C6"
Clinical Sciences,Medicine and Surgery,319,18.88,76.35,True,2,admitted,"A1, B2, B2, A1, C5"
Life Sciences,Plant Biology,230,10.19,51.34,True,1,admitted,"C4, C6, C5, C5, C4"
Arts,Linguistics and Nigerian Languages,334,25.88,82.03,True,2,admitted,"A1, C5, C4, C5, C4"
Communication and Information Sciences,Telecommunication Science,322,15.9,71.35,True,1,admitted,"A1, C5, C6, A1, C4"
Education,Counsellor Education,330,23.38,80.23,True,2,admitted,"B3, C6, A1, B2, C4"
Management Sciences,Finance,388,20.67,82.77,True,1,admitted,"C6, B3, C6, A1, C5"
Engineering and Technology,Electrical and Electronics Engineering,378,17.9,79.95,True,1,admitted,"B3, B2, B3, C5, C5"
Clinical Sciences,Medicine and Surgery,211,21.28,60.45,True,2,admitted,"C4, C5, C4, C5, C5"
Clinical Sciences,Medicine and Surgery,350,16.45,73.8,True,2,admitted,"C6, A1, C4, C4, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,166,17.78,53.33,True,1,not admitted,"B2, B3, B2, C6, C5"
Physical Sciences,Chemistry,236,3.52,49.02,True,2,not admitted,"C5, A1, B2, B3, C4"
Arts,History and International Studies,169,18.66,54.18,True,1,not admitted,"A1, C4, C6, C4, C4"
Clinical Sciences,Medicine and Surgery,385,25.56,89.28,True,2,admitted,"A1, B2, B3, C6, C4"
Agriculture,Agronomy,398,29.59,94.94,True,2,admitted,"B2, C4, B2, C4, C4"
Communication and Information Sciences,Library and Information Science,349,8.47,64.89,True,2,admitted,"C5, C5, C4, B3, C6"
Arts,Arabic,210,11.45,54.9,True,2,admitted,"A1, A1, C6, A1, B3"
Veterinary Medicine,Veterinary Medicine,223,4.08,45.16,True,2,not admitted,"C4, B3, C6, C6, B3"
Environmental Sciences,Urban and Regional Planning,142,19.49,53.24,True,1,not admitted,"B3, A1, B2, C4, C5"
Basic Medical Sciences,Physiology,348,16.32,75.82,True,1,admitted,"C6, A1, B3, C4, A1"
Pharmaceutical Sciences,Pharmacy,267,14.98,64.36,True,1,admitted,"C6, A1, A1, B3, C4"
Law,Law,277,22.35,71.78,True,2,admitted,"B2, B2, C6, C6, B2"
Pharmaceutical Sciences,Pharmacy,148,22.62,58.32,True,2,not admitted,"B2, A1, B3, B2, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,284,1.07,49.37,True,2,not admitted,"C6, B3, C5, C4, C5"
Basic Medical Sciences,Biomedical Science,260,0.17,50.27,True,2,admitted,"A1, A1, C4, B2, B3"
Agriculture,Home Economics and Food Science,339,19.37,78.15,True,1,admitted,"A1, B3, C5, B2, B3"
Agriculture,Agronomy,234,24.0,66.05,True,1,admitted,"B3, C6, C6, C5, B3"
Arts,Yoruba,378,19.03,83.48,True,1,admitted,"B2, C5, A1, B3, A1"
Life Sciences,Biochemistry,150,27.11,59.86,True,2,not admitted,"B3, C6, B3, C4, C4"
Law,Law,384,26.76,88.76,True,2,admitted,"C5, B2, C4, C5, C4"
Law,Law,156,0.28,34.58,True,1,not admitted,"B3, C5, C4, A1, C5"
Education,Adult and Primary Education,355,17.02,76.19,True,2,admitted,"C5, C6, B2, B2, B3"
Social Sciences,Social Work,308,3.97,54.07,True,1,admitted,"C6, C6, C6, C5, B3"
Management Sciences,Accounting,220,23.26,67.16,True,1,admitted,"C4, B3, B3, B2, B2"
Basic Medical Sciences,Anatomy,177,13.63,52.56,True,2,not admitted,"C5, B2, A1, B2, B3"
Basic Medical Sciences,Biomedical Science,264,13.22,60.22,True,1,admitted,"C4, C4, C5, C6, A1"
Veterinary Medicine,Veterinary Medicine,355,24.85,82.82,True,2,admitted,"C6, C6, C4, B2, B3"
Agriculture,Home Economics and Food Science,291,14.24,64.22,True,2,admitted,"C6, C5, A1, C4, C5"
Arts,Arabic,166,3.66,42.41,True,1,not admitted,"B2, A1, B3, A1, B3"
Basic Medical Sciences,Anatomy,305,17.16,71.69,True,1,admitted,"C4, A1, A1, C6, B2"
Life Sciences,Zoology,333,17.51,75.53,True,1,admitted,"B3, C4, B2, B2, B3"
Law,Law,328,17.57,73.37,True,2,admitted,"B2, C6, B3, C6, A1"
Education,Arts Education,303,28.62,80.5,True,2,admitted,"C5, B3, B2, C6, C4"
Management Sciences,Business Administration,392,8.94,73.14,True,2,admitted,"C5, B2, C5, A1, C4"
Environmental Sciences,Estate Management,329,21.92,79.05,True,1,admitted,"B3, B3, C4, A1, C4"
Environmental Sciences,Estate Management,179,23.39,62.56,True,2,not admitted,"B2, A1, C4, B2, C4"
Engineering and Technology,Biomedical Engineering,374,20.41,82.76,True,2,admitted,"B3, B3, C6, B3, A1"
Social Sciences,Political Science,286,11.29,61.04,True,2,admitted,"C5, B2, C6, C5, B2"
Arts,History and International Studies,197,14.55,53.57,True,2,admitted,"C5, C6, C4, B2, B2"
Social Sciences,Social Work,378,0.23,64.28,True,1,admitted,"B3, B2, A1, B3, C4"
Veterinary Medicine,Veterinary Medicine,266,14.98,64.23,True,1,admitted,"C5, C4, A1, C4, A1"
Basic Medical Sciences,Physiology,178,26.45,64.7,True,1,not admitted,"A1, B3, C4, A1, C6"
Pharmaceutical Sciences,Pharmacy,171,0.27,38.05,True,1,not admitted,"C5, B2, B2, B3, B2"
Pharmaceutical Sciences,Pharmacy,397,0.84,64.87,True,2,admitted,"C4, C6, C5, A1, B3"
Life Sciences,Biochemistry,289,13.56,63.69,True,2,admitted,"B2, C6, C5, B3, C4"
Physical Sciences,Computer Science,313,7.5,65.03,True,2,admitted,"B2, B3, B2, A1, A1"
Social Sciences,Psychology,348,14.51,74.41,True,2,admitted,"A1, C6, B3, B3, A1"
Environmental Sciences,Surveying and Geo-informatics,362,25.15,86.0,True,1,admitted,"B2, C4, A1, C5, C4"
Law,Law,323,29.93,86.31,True,2,admitted,"B3, A1, B3, C4, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,312,1.37,54.77,True,1,admitted,"C5, B2, B3, C5, C4"
Veterinary Medicine,Veterinary Medicine,151,17.28,51.36,True,2,not admitted,"B3, A1, C4, B3, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,278,21.39,68.54,True,2,admitted,"C5, C6, B3, C4, C6"
Agriculture,Forest Resources Management,264,23.9,71.7,True,1,admitted,"C6, A1, C6, C4, A1"
Social Sciences,Geography,162,19.71,51.56,True,1,not admitted,"C5, C5, C5, C5, C6"
Life Sciences,Biochemistry,217,19.71,60.84,True,2,admitted,"C6, B2, C4, B2, C6"
Engineering and Technology,Civil Engineering,219,22.35,67.72,True,2,admitted,"A1, B3, B2, B2, B2"
Life Sciences,Plant Biology,284,17.6,69.5,True,2,admitted,"A1, B2, A1, C4, C6"
Basic Medical Sciences,Physiology,296,9.06,58.06,True,2,admitted,"C6, C5, C4, C6, C4"
Communication and Information Sciences,Telecommunication Science,143,8.87,41.94,True,1,not admitted,"A1, B2, C5, C4, C5"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,379,28.22,88.39,True,2,admitted,"C4, C5, C5, C5, C4"
Basic Medical Sciences,Biomedical Science,215,20.86,64.53,True,2,admitted,"B2, C4, C4, A1, B2"
Agriculture,Forest Resources Management,202,9.69,48.54,True,2,not admitted,"C5, B3, C5, C5, B3"
Physical Sciences,Geophysics,186,16.36,56.41,True,1,admitted,"A1, C6, A1, B3, B2"
Education,Adult and Primary Education,212,4.66,45.96,True,2,not admitted,"A1, C6, C6, C4, A1"
Education,Science Education,384,2.05,62.85,True,1,admitted,"B3, C6, B2, C6, C6"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,224,24.0,68.4,True,2,admitted,"C5, B3, A1, A1, C4"
Law,Law,322,17.29,70.74,True,2,admitted,"B2, C6, B3, C6, C5"
Social Sciences,Psychology,313,7.04,62.56,True,2,admitted,"B3, B2, A1, C5, B3"
Communication and Information Sciences,Library and Information Science,148,14.83,48.93,True,2,not admitted,"C5, C4, C4, A1, B2"
Pharmaceutical Sciences,Pharmacy,386,27.55,91.8,True,2,admitted,"B3, C6, A1, A1, C4"
Pharmaceutical Sciences,Pharmacy,204,28.31,67.01,True,1,admitted,"B3, B3, C4, C6, C6"
Physical Sciences,Chemistry,312,27.25,83.05,True,1,admitted,"B3, A1, B3, A1, C5"
Life Sciences,Biochemistry,375,9.53,72.41,True,2,admitted,"A1, C5, B3, B2, C4"
Environmental Sciences,Urban and Regional Planning,253,3.29,50.11,True,1,admitted,"B2, C5, C5, C4, A1"
Clinical Sciences,Medicine and Surgery,217,13.02,52.94,True,2,admitted,"A1, C6, C6, C4, C6"
Life Sciences,Zoology,384,21.99,82.79,True,1,admitted,"B3, C6, C4, C6, C4"
Social Sciences,Geography,174,29.02,65.97,True,1,not admitted,"B3, B2, B2, C4, C6"
Agriculture,Aquaculture and Fisheries,270,23.88,72.83,True,2,admitted,"C4, B3, A1, C4, C5"
Communication and Information Sciences,Library and Information Science,290,29.58,79.43,True,2,admitted,"C6, C6, C4, A1, C4"
Engineering and Technology,Agricultural and Biosystems Engineering,144,11.35,42.95,True,1,not admitted,"C5, C6, B3, B2, C5"
Management Sciences,Industrial Relations and Personnel Management,258,25.71,74.36,True,2,admitted,"A1, A1, C5, A1, C6"
Life Sciences,Plant Biology,398,3.69,69.44,True,1,admitted,"B3, B3, B2, A1, C6"
Clinical Sciences,Medicine and Surgery,169,17.13,53.85,True,1,not admitted,"A1, C6, B3, B3, B3"
Communication and Information Sciences,Information and Communication Science,243,19.31,64.48,True,2,admitted,"B2, C5, C4, A1, C6"
Physical Sciences,Chemistry,331,4.72,60.89,True,1,admitted,"C6, C4, B3, A1, C4"
Management Sciences,Finance,145,29.26,62.19,True,2,not admitted,"C6, C6, A1, B2, B3"
Arts,Linguistics and Nigerian Languages,269,20.87,68.9,True,1,admitted,"C5, C4, C5, C4, A1"
Law,Law,242,10.24,54.49,True,1,admitted,"C4, B2, C5, C4, C5"
Arts,French,170,25.86,61.51,True,1,not admitted,"C6, C5, C6, A1, A1"
Veterinary Medicine,Veterinary Medicine,181,19.81,56.44,True,1,admitted,"C5, C5, C6, B3, A1"
Agriculture,Aquaculture and Fisheries,212,27.23,67.73,True,1,admitted,"C4, C6, C5, C4, A1"
Engineering and Technology,Water Resources & Environmental Engineering,192,9.29,46.89,True,2,not admitted,"C5, C5, A1, C6, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,151,14.98,49.46,True,1,not admitted,"A1, C4, C4, C5, B2"
Clinical Sciences,Medicine and Surgery,229,19.13,65.75,True,2,admitted,"A1, A1, A1, B3, C4"
Agriculture,Agricultural Economics and Farm Management,390,11.71,75.26,True,2,admitted,"A1, C4, C5, C4, C4"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,168,20.94,56.74,True,1,not admitted,"B3, C5, C4, B3, B3"
Law,Law,302,20.0,73.35,True,1,admitted,"C5, C4, B2, C4, A1"
Veterinary Medicine,Veterinary Medicine,174,19.85,57.6,True,1,not admitted,"B2, C5, A1, C5, B2"
Pharmaceutical Sciences,Pharmacy,202,2.33,41.18,True,1,not admitted,"B3, C5, C5, C6, B2"
Law,Law,245,8.74,52.97,True,2,admitted,"C4, C5, C4, C4, C4"
Basic Medical Sciences,Biomedical Science,213,16.24,56.46,True,2,admitted,"C4, C5, B3, C6, B3"
Physical Sciences,Industrial Chemistry,359,21.61,82.88,True,2,admitted,"B2, A1, B3, C4, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,326,25.0,82.55,True,1,admitted,"C4, A1, A1, A1, C6"
Pharmaceutical Sciences,Pharmacy,233,3.7,48.83,True,2,not admitted,"B3, B2, C5, B3, B2"
Engineering and Technology,Agricultural and Biosystems Engineering,342,16.07,73.22,True,1,admitted,"C5, B2, C5, C6, A1"
Communication and Information Sciences,Telecommunication Science,258,19.81,66.46,True,1,admitted,"B2, B2, C4, C5, C6"
Veterinary Medicine,Veterinary Medicine,250,28.67,75.92,True,2,admitted,"C4, A1, B3, B3, C4"
Management Sciences,Finance,228,3.59,48.49,True,2,not admitted,"C5, A1, B3, B3, B2"
Basic Medical Sciences,Anatomy,317,15.06,69.09,True,1,admitted,"C5, C5, B3, C5, A1"
Communication and Information Sciences,Telecommunication Science,146,7.6,38.25,True,2,not admitted,"C5, C6, C5, C4, C4"
Law,Law,163,0.19,33.77,True,2,not admitted,"C6, C4, B3, C5, C4"
Social Sciences,Economics,285,8.78,58.8,True,1,admitted,"C5, C4, A1, C4, C5"
Physical Sciences,Geology,162,19.06,53.71,True,2,not admitted,"C4, B3, C6, A1, C5"
Law,Law,152,20.95,53.95,True,2,not admitted,"B3, C6, C5, B3, B3"
Engineering and Technology,Civil Engineering,287,5.89,57.37,True,2,admitted,"A1, B2, C4, C6, B3"
Environmental Sciences,Surveying and Geo-informatics,331,2.16,57.53,True,2,admitted,"C5, C4, C4, C5, B2"
Engineering and Technology,Electrical and Electronics Engineering,167,7.48,44.75,True,2,not admitted,"A1, C5, B3, A1, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,211,1.4,42.58,True,2,not admitted,"B2, C5, C4, C4, B3"
Engineering and Technology,Mechanical Engineering,234,7.9,52.75,True,2,admitted,"B3, A1, C6, C4, B2"
Clinical Sciences,Nursing Science,238,8.58,53.53,True,2,admitted,"B3, C6, B3, A1, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,233,21.16,65.08,True,1,admitted,"A1, C6, A1, C5, C5"
Law,Law,345,27.88,89.0,True,1,admitted,"B2, A1, A1, C5, A1"
Basic Medical Sciences,Anatomy,291,5.82,60.2,True,1,admitted,"B2, B2, A1, C4, A1"
Engineering and Technology,Agricultural and Biosystems Engineering,182,25.14,60.29,True,1,admitted,"C6, A1, C6, C5, C6"
Life Sciences,Zoology,327,0.68,57.55,True,2,admitted,"C5, B3, B3, A1, B3"
Management Sciences,Marketing,277,14.45,65.08,True,2,admitted,"C5, C4, A1, A1, C4"
Engineering and Technology,Food & Bioprocess Engineering,168,10.15,46.75,True,2,not admitted,"C5, C5, A1, B2, B3"
Communication and Information Sciences,Library and Information Science,311,25.87,79.55,True,2,admitted,"C5, C5, B3, B3, B2"
Veterinary Medicine,Veterinary Medicine,322,13.99,70.64,True,2,admitted,"C4, A1, C4, A1, C4"
Veterinary Medicine,Veterinary Medicine,289,22.99,74.31,True,2,admitted,"C4, C5, B2, A1, C5"
Pharmaceutical Sciences,Pharmacy,369,0.13,61.45,True,2,admitted,"B3, B3, C6, B2, B3"
Pharmaceutical Sciences,Pharmacy,302,8.27,63.62,True,2,admitted,"A1, A1, A1, C4, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,140,21.66,52.76,True,1,not admitted,"C6, A1, C5, B3, C6"
Social Sciences,Economics,339,6.43,65.61,True,2,admitted,"C4, A1, B2, B3, B3"
Clinical Sciences,Nursing Science,176,8.46,44.06,True,1,not admitted,"C4, C5, C4, B3, C5"
Clinical Sciences,Medicine and Surgery,207,20.7,59.38,True,2,admitted,"C6, C5, B2, C6, C4"
Law,Law,141,4.71,39.53,True,2,not admitted,"B2, C4, A1, B3, B2"
Physical Sciences,Chemistry,328,28.78,84.18,True,2,admitted,"B3, C4, B2, C6, C4"
Communication and Information Sciences,Information and Communication Science,343,6.55,65.82,True,1,admitted,"C5, B2, A1, C4, B2"
Social Sciences,Geography,356,16.06,75.76,True,2,admitted,"C5, A1, B3, C4, C4"
Clinical Sciences,Medicine and Surgery,231,25.88,69.55,True,2,admitted,"C6, B2, C6, B2, B2"
Law,Law,394,22.26,87.51,True,2,admitted,"C5, B2, B2, B2, C4"
Law,Law,354,7.8,65.65,True,1,admitted,"B3, C6, B2, C5, C5"
Agriculture,Forest Resources Management,363,18.75,76.53,True,1,admitted,"C6, C5, B3, C4, C6"
Communication and Information Sciences,Library and Information Science,272,15.61,64.81,True,2,admitted,"B3, B2, A1, C6, C5"
Education,Human Kinetics Education,236,22.99,67.29,True,1,admitted,"B2, C4, C5, B2, C5"
Life Sciences,Zoology,246,3.82,48.97,True,2,not admitted,"C6, C6, A1, C5, A1"
Communication and Information Sciences,Telecommunication Science,371,9.35,72.53,True,2,admitted,"B3, C4, A1, B3, B2"
Pharmaceutical Sciences,Pharmacy,283,3.85,52.83,True,2,admitted,"C5, B3, C4, C6, B3"
